삼척시 - 비만유병률(표준화율),Statistics,37.2
상당구 - 비만유병률(표준화율),Statistics,32.5
상록구 - 비만유병률(표준화율),Statistics,36.1
상주시 - 비만유병률(표준화율),Statistics,26.8
서구 - 비만유병률(표준화율),Statistics,29.9
서귀포 - 비만유병률(표준화율),Statistics,39.1
서귀포시 - 비만유병률(표준화율),Statistics,39.9
서대문구 - 비만유병률(표준화율),Statistics,31.4
서부 - 비만유병률(표준화율),Statistics,38.8
서산시 - 비만유병률(표준화율),Statistics,37.1
서울특별시 - 비만유병률(표준화율),Statistics,31.3
서원구 - 비만유병률(표준화율),Statistics,31.6
서천군 - 비만유병률(표준화율),Statistics,41.9
서초구 - 비만유병률(표준화율),Statistics,25.0
선산 - 비만유병률(표준화율),Statistics,39.7
성남시 - 비만유병률(표준화율),Statistics,29.1
성동구 - 비만유병률(표준화율),Statistics,30.7
성북구 - 비만유병률(표준화율),Statistics,31.2
성주군 - 비만유병률(표준화율),Statistics,38.0
세종시 - 비만유병률(표준화율),Statistics,31.0
세종특별자치시 - 비만유병률(표준화율),Statistics,31.0
소사구 - 비만유병률(표준화율),Statistics,33.2
속초시 - 비만유병률(표준화율),Statistics,32.5
송탄 - 비만유병률(표준화율),Statistics,40.7
송파구 - 비만유병률(표준화율),Statistics,27.4
수성구 - 비만유병률(표준화율),Statistics,26.3
수영구 - 비만유병률(표준화율),Statistics,36.8
수원시 - 비만유병률(표준화율),Statistics,33.3
수정구 - 비만유병률(표준화율),Statistics,36.4
수지구 - 비만유병률(표준화율),Statistics,28.0
순창군 - 비만유병률(표준화율),Statistics,35.3
순천시 - 비만유병률(표준화율),Statistics,34.8
시흥시 - 비만유병률(표준화율),Statistics,33.2
신안군 - 비만유병률(표준화율),Statistics,31.7
아산시 - 비만유병률(표준화율),Statistics,38.6
안동시 - 비만유병률(표준화율),Statistics,33.7
안산시 - 비만유병률(표준화율),Statistics,34.8
안성시 - 비만유병률(표준화율),Statistics,39.1
안양시 - 비만유병률(표준화율),Statistics,32.3
양구군 - 비만유병률(표준화율),Statistics,37.0
양산시 - 비만유병률(표준화율),Statistics,38.1
양양군 - 비만유병률(표준화율),Statistics,32.5
양주시 - 비만유병률(표준화율),Statistics,38.2
양천구 - 비만유병률(표준화율),Statistics,34.6
양평군 - 비만유병률(표준화율),Statistics,36.3
여수시 - 비만유병률(표준화율),Statistics,40.1
여주시 - 비만유병률(표준화율),Statistics,32.7
연수구 - 비만유병률(표준화율),Statistics,39.2
연제구 - 비만유병률(표준화율),Statistics,33.2
연천군 - 비만유병률(표준화율),Statistics,38.9
영광군 - 비만유병률(표준화율),Statistics,37.2
영덕군 - 비만유병률(표준화율),Statistics,35.5
영도구 - 비만유병률(표준화율),Statistics,34.6
영동군 - 비만유병률(표준화율),Statistics,35.8
영등포구 - 비만유병률(표준화율),Statistics,33.9
영암군 - 비만유병률(표준화율),Statistics,42.6
영양군 - 비만유병률(표준화율),Statistics,33.9
영월군 - 비만유병률(표준화율),Statistics,34.1
영주시 - 비만유병률(표준화율),Statistics,33.9
영천시 - 비만유병률(표준화율),Statistics,37.9
영통구 - 비만유병률(표준화율),Statistics,29.1
예산군 - 비만유병률(표준화율),Statistics,35.3
예천군 - 비만유병률(표준화율),Statistics,34.8
오산시 - 비만유병률(표준화율),Statistics,35.3
오정구 - 비만유병률(표준화율),Statistics,34.0
옥천군 - 비만유병률(표준화율),Statistics,31.8
옹진군 - 비만유병률(표준화율),Statistics,44.8
완도군 - 비만유병률(표준화율),Statistics,43.9
완주군 - 비만유병률(표준화율),Statistics,37.7
용산구 - 비만유병률(표준화율),Statistics,25.4
용인시 - 비만유병률(표준화율),Statistics,30.7
울릉군 - 비만유병률(표준화율),Statistics,31.2
울산광역시 - 비만유병률(표준화율),Statistics,33.1
울주군 - 비만유병률(표준화율),Statistics,26.8
울진군 - 비만유병률(표준화율),Statistics,37.3
원미구 - 비만유병률(표준화율),Statistics,33.4
원주시 - 비만유병률(표준화율),Statistics,33.0
유성구 - 비만유병률(표준화율),Statistics,29.3
은평구 - 비만유병률(표준화율),Statistics,31.7
음성군 - 비만유병률(표준화율),Statistics,39.9
의령군 - 비만유병률(표준화율),Statistics,34.8
의성군 - 비만유병률(표준화율),Statistics,43.4
의왕시 - 비만유병률(표준화율),Statistics,34.3
의정부시 - 비만유병률(표준화율),Statistics,36.4
이천시 - 비만유병률(표준화율),Statistics,34.2
익산시 - 비만유병률(표준화율),Statistics,31.3
인제군 - 비만유병률(표준화율),Statistics,41.5
인천광역시 - 비만유병률(표준화율),Statistics,35.1
일산동구 - 비만유병률(표준화율),Statistics,26.3
일산서구 - 비만유병률(표준화율),Statistics,31.9
임실군 - 비만유병률(표준화율),Statistics,33.1
장성군 - 비만유병률(표준화율),Statistics,35.3
장수군 - 비만유병률(표준화율),Statistics,35.2
장안구 - 비만유병률(표준화율),Statistics,34.3
장흥군 - 비만유병률(표준화율),Statistics,39.3
전라남도 - 비만유병률(표준화율),Statistics,36.2
전북특별자치도 - 비만유병률(표준화율),Statistics,33.0
전주시 - 비만유병률(표준화율),Statistics,31.0
정선군 - 비만유병률(표준화율),Statistics,37.8
정읍시 - 비만유병률(표준화율),Statistics,39.0
제주 - 비만유병률(표준화율),Statistics,38.2
제주시 - 비만유병률(표준화율),Statistics,38.1
제주특별자치도 - 비만유병률(표준화율),Statistics,38.6
제천시 - 비만유병률(표준화율),Statistics,35.6
종로구 - 비만유병률(표준화율),Statistics,32.6
중구 - 비만유병률(표준화율),Statistics,28.6
중랑구 - 비만유병률(표준화율),Statistics,36.3
중원구 - 비만유병률(표준화율),Statistics,30.0
증평군 - 비만유병률(표준화율),Statistics,38.0
진도군 - 비만유병률(표준화율),Statistics,42.2
진안군 - 비만유병률(표준화율),Statistics,29.0
진주시 - 비만유병률(표준화율),Statistics,33.9
진천군 - 비만유병률(표준화율),Statistics,35.1
