item,category,2003,2004,2005,2006,2007,2008
마산시 - 요양기관수,Statistics,592.0,589.0,589.0,612.0,617.0,630.0
마포구 - 요양기관수,Statistics,664.0,666.0,679.0,704.0,717.0,751.0
목포시 - 요양기관수,Statistics,347.0,349.0,353.0,372.0,376.0,374.0
무안군 - 요양기관수,Statistics,82.0,82.0,80.0,90.0,92.0,92.0
무주군 - 요양기관수,Statistics,46.0,45.0,45.0,45.0,46.0,47.0
문경시 - 요양기관수,Statistics,110.0,110.0,121.0,127.0,125.0,125.0
밀양시 - 요양기관수,Statistics,149.0,151.0,158.0,164.0,166.0,167.0
보령시 - 요양기관수,Statistics,157.0,158.0,162.0,171.0,170.0,168.0
보성군 - 요양기관수,Statistics,81.0,82.0,91.0,99.0,97.0,99.0
보은군 - 요양기관수,Statistics,62.0,62.0,59.0,61.0,63.0,65.0
봉화군 - 요양기관수,Statistics,39.0,39.0,40.0,40.0,40.0,40.0
부산광역시 - 요양기관수,Statistics,5298.0,5305.0,5384.0,5536.0,5677.0,5771.0
부산진구 - 요양기관수,Statistics,770.0,767.0,786.0,811.0,809.0,822.0
부안군 - 요양기관수,Statistics,106.0,106.0,109.0,113.0,114.0,115.0
부여군 - 요양기관수,Statistics,129.0,132.0,134.0,134.0,132.0,129.0
부천시소사구 - 요양기관수,Statistics,256.0,260.0,262.0,288.0,297.0,305.0
부천시오정구 - 요양기관수,Statistics,197.0,199.0,203.0,214.0,215.0,212.0
부천시원미구 - 요양기관수,Statistics,659.0,655.0,667.0,700.0,714.0,726.0
부평구 - 요양기관수,Statistics,654.0,656.0,680.0,737.0,752.0,769.0
북구 - 요양기관수,Statistics,363.0,363.0,379.0,385.0,394.0,391.0
북제주군 - 요양기관수,Statistics,102.0,104.0,105.0,111.0,,
사상구 - 요양기관수,Statistics,284.0,287.0,283.0,294.0,301.0,314.0
사천시 - 요양기관수,Statistics,148.0,148.0,147.0,151.0,151.0,162.0
사하구 - 요양기관수,Statistics,452.0,452.0,452.0,469.0,477.0,488.0
산청군 - 요양기관수,Statistics,48.0,49.0,53.0,51.0,56.0,58.0
삼척시 - 요양기관수,Statistics,90.0,89.0,89.0,95.0,92.0,90.0
상주시 - 요양기관수,Statistics,151.0,152.0,155.0,161.0,161.0,165.0
서구 - 요양기관수,Statistics,232.0,232.0,235.0,237.0,235.0,236.0
서귀포시 - 요양기관수,Statistics,100.0,101.0,104.0,105.0,213.0,215.0
서대문구 - 요양기관수,Statistics,558.0,559.0,578.0,586.0,595.0,591.0
서산시 - 요양기관수,Statistics,179.0,178.0,187.0,192.0,196.0,202.0
서울특별시 - 요양기관수,Statistics,17479.0,17491.0,18023.0,18615.0,19177.0,19670.0
