item,category,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
부산광역시 - 상용근로자＜br＞(A),Statistics,522.0,453.0,446.1,448.2,475.1,503.8,484.1,495.1,514.2,547.4,560.9,590.8,624.5,649.6,668.4,691.8,726.3,777.6,802.4,818.2,864.4,913.5,919.4,843.7,852.6,863.9,911.9,973.7
부산광역시 - 상용직 비중＜br＞(A÷B×100),Statistics,46.6,44.8,40.8,40.4,41.0,43.7,43.2,43.7,44.4,46.5,48.0,51.3,54.7,57.1,56.0,56.3,58.8,61.7,61.4,63.9,67.2,72.0,72.5,71.1,70.3,67.9,70.2,74.2
부산광역시 - 임금근로자＜br＞(B),Statistics,1119.0,1012.0,1094.4,1109.4,1158.4,1152.0,1120.1,1134.2,1157.7,1177.4,1169.1,1152.6,1142.1,1138.5,1193.5,1228.4,1234.8,1260.2,1306.1,1280.0,1286.6,1268.2,1267.7,1186.2,1212.6,1271.7,1299.7,1312.7
서울특별시 - 상용근로자＜br＞(A),Statistics,1546.0,1327.0,1294.8,1403.3,1394.6,1564.0,1638.5,1653.9,1749.6,1857.5,1955.5,2019.1,2077.6,2225.9,2388.0,2444.2,2604.4,2499.8,2602.7,2590.8,2687.2,2699.0,2946.9,2972.5,3059.9,3153.3,3306.3,3259.1
서울특별시 - 상용직 비중＜br＞(A÷B×100),Statistics,48.5,44.9,40.5,43.3,42.0,46.9,47.8,47.2,48.4,49.8,51.9,53.6,56.8,58.1,61.1,61.4,64.1,62.2,64.6,64.8,66.4,66.7,70.4,74.4,74.3,75.8,76.7,76.6
서울특별시 - 임금근로자＜br＞(B),Statistics,3188.0,2958.0,3197.6,3243.8,3319.8,3331.3,3431.2,3506.0,3615.9,3731.4,3768.6,3764.7,3657.9,3831.2,3911.2,3979.9,4062.3,4018.6,4028.7,3999.1,4045.3,4049.0,4185.3,3996.1,4118.7,4158.3,4308.0,4254.9
세종특별자치시 - 상용근로자＜br＞(A),Statistics,,,,,,,,,,,,,,,,,,,,78.3,86.0,110.9,119.0,130.1,130.2,146.2,148.6,154.4
세종특별자치시 - 상용직 비중＜br＞(A÷B×100),Statistics,,,,,,,,,,,,,,,,,,,,82.0,80.3,84.3,83.6,87.0,87.4,88.4,87.0,88.3
세종특별자치시 - 임금근로자＜br＞(B),Statistics,,,,,,,,,,,,,,,,,,,,95.5,107.1,131.6,142.3,149.6,149.0,165.3,170.8,174.8
울산광역시 - 상용근로자＜br＞(A),Statistics,225.0,204.0,208.7,216.8,222.0,229.5,228.9,245.3,243.8,237.4,252.4,261.4,268.4,278.3,293.0,310.0,329.2,339.1,355.0,332.5,342.9,336.2,340.1,342.9,353.8,374.9,363.8,354.5
울산광역시 - 상용직 비중＜br＞(A÷B×100),Statistics,69.9,69.9,67.4,65.3,64.3,63.3,61.8,65.4,66.6,62.2,64.1,65.1,66.0,65.5,67.8,71.0,73.3,75.2,76.0,73.2,72.3,74.0,73.5,77.6,78.0,79.1,78.7,75.9
