item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
부산광역시 - 구조·구급대원 1인당 담당주민수＜br＞{A÷(B+C)},Statistics,7335.0,6947.0,6941.0,6307.0,6353.0,5889.0,5866.0,4813.0,4319.0,4243.0,4063.0,3772.0,3859.0,3545.0,3460.0,3213.0
부산광역시 - 구조대원 수＜br＞(B),Statistics,184.0,208.0,204.0,245.0,239.0,269.0,270.0,292.0,306.0,305.0,244.0,284.0,258.0,312.0,320.0,359.0
부산광역시 - 주민등록인구＜br＞(A),Statistics,3564577.0,3543030.0,3567910.0,3550963.0,3538484.0,3527635.0,3519401.0,3513777.0,3498529.0,3470653.0,3441453.0,3413841.0,3391946.0,3350380.0,3317812.0,3293362.0
서울특별시 - 구급대원 수＜br＞(C),Statistics,852.0,876.0,1026.0,1198.0,1199.0,1209.0,1211.0,1300.0,1311.0,1321.0,1371.0,1359.0,1467.0,1473.0,1506.0,1515.0
서울특별시 - 구조·구급대원 1인당 담당주민수＜br＞{A÷(B+C)},Statistics,7245.0,7403.0,6636.0,5908.0,5790.0,5516.0,5512.0,5185.0,5111.0,4976.0,4808.0,4819.0,4563.0,4419.0,4339.0,4230.0
서울특별시 - 구조대원 수＜br＞(B),Statistics,556.0,503.0,528.0,537.0,562.0,630.0,622.0,633.0,632.0,660.0,660.0,660.0,652.0,679.0,667.0,704.0
서울특별시 - 주민등록인구＜br＞(A),Statistics,10200827.0,10208302.0,10312545.0,10249679.0,10195318.0,10143645.0,10103233.0,10022181.0,9930616.0,9857426.0,9765623.0,9729107.0,9668465.0,9509458.0,9428372.0,9386034.0
세종특별자치시 - 구급대원 수＜br＞(C),Statistics,,,,,37.0,30.0,29.0,49.0,50.0,54.0,72.0,95.0,99.0,99.0,108.0,107.0
세종특별자치시 - 구조·구급대원 1인당 담당주민수＜br＞{A÷(B+C)},Statistics,,,,,2407.0,2841.0,3717.0,3834.0,4340.0,3638.0,3205.0,2769.0,2802.0,2861.0,2627.0,2666.0
세종특별자치시 - 구조대원 수＜br＞(B),Statistics,,,,,10.0,13.0,13.0,6.0,6.0,23.0,26.0,28.0,28.0,31.0,38.0,38.0
세종특별자치시 - 주민등록인구＜br＞(A),Statistics,,,,,113117.0,122153.0,156125.0,210884.0,243048.0,280100.0,314126.0,340575.0,355831.0,371895.0,383591.0,386525.0
울산광역시 - 구급대원 수＜br＞(C),Statistics,130.0,132.0,126.0,142.0,156.0,162.0,150.0,153.0,171.0,183.0,183.0,213.0,249.0,261.0,267.0,276.0
울산광역시 - 구조·구급대원 1인당 담당주민수＜br＞{A÷(B+C)},Statistics,5618.0,5438.0,5660.0,5047.0,4664.0,4190.0,4435.0,4267.0,4407.0,4191.0,3865.0,3458.0,3209.0,2936.0,2784.0,2561.0
