item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
세종특별자치시 - 총도시공원면적＜br＞(A),Statistics,,,,19868.098,19868.392,20157.785,21266.241,21287.705,20482.214,21258.343,21363.012,22077.452,22094.36,22098.09,22098.09
울산광역시 - 도시지역인구＜br＞(B),Statistics,1114866.0,1126298.0,1131814.0,1144907.0,1154500.0,1164342.0,1171450.0,1170222.0,1163030.0,1153490.0,1145874.0,1133881.0,1119594.0,1108668.0,1101810.0
울산광역시 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,16.3,16.3,16.6,10.4,11.5,11.4,11.6,9.1,9.4,9.4,10.6,10.7,10.7,10.3,10.4
울산광역시 - 총도시공원면적＜br＞(A),Statistics,18204.258,18325.71,18833.091,11942.566,13264.69,13238.99,13604.638,10619.861,10902.437,10855.296,12095.686,12082.581,12001.295,11367.845,11507.368
인천광역시 - 도시지역인구＜br＞(B),Statistics,2643543.0,2690687.0,2733244.0,2775397.0,2818829.0,2841267.0,2852386.0,2865152.0,2875905.0,2887841.0,2890505.0,2875877.0,2881117.0,2899766.0,2930599.0
인천광역시 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,7.4,11.6,9.6,10.4,5.5,7.6,9.2,11.3,11.2,11.7,10.8,12.9,13.1,13.6,14.1
인천광역시 - 총도시공원면적＜br＞(A),Statistics,19455.189,31079.44,26331.097,28969.82,15414.448,21603.211,26372.104,32479.708,32284.371,33817.655,31226.161,37059.136,37655.295,39427.233,41290.7
전국 - 도시지역인구＜br＞(B),Statistics,45182606.0,45933001.0,46230613.0,46381918.0,46837578.0,47048116.0,47297509.0,47469137.0,47542961.0,47596436.0,47596532.0,47570964.0,47402647.0,47294436.0,47275100.0
전국 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,8.1,8.4,8.3,8.9,8.6,8.6,8.8,9.2,9.6,10.1,10.5,11.0,11.6,12.3,12.6
전국 - 총도시공원면적＜br＞(A),Statistics,368198.04,384402.072,385575.321,412023.517,403881.406,406422.078,418208.65,437306.053,454594.988,479916.639,498352.525,524654.338,550812.237,582648.926,597013.379
전라남도 - 도시지역인구＜br＞(B),Statistics,1313237.0,1330440.0,1342078.0,1325818.0,1338135.0,1345678.0,1360693.0,1360584.0,1362819.0,1349392.0,1338224.0,1324815.0,1325445.0,1333674.0,1352944.0
전라남도 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,11.2,12.7,12.9,14.9,15.9,19.7,16.0,15.8,17.9,20.1,20.1,23.9,25.6,26.4,26.2
전라남도 - 총도시공원면적＜br＞(A),Statistics,14654.027,16935.273,17278.841,19770.307,21234.057,26527.602,21782.521,21553.299,24448.672,27080.517,26915.872,31723.744,33942.646,35154.556,35397.676
전북특별자치도 - 도시지역인구＜br＞(B),Statistics,1433367.0,1455585.0,1476612.0,1473995.0,1474370.0,1491455.0,1487102.0,1494153.0,1481957.0,1473946.0,1477068.0,1468963.0,1459758.0,1453812.0,1438807.0
전북특별자치도 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,10.0,10.5,10.6,11.2,11.7,11.7,12.5,12.2,13.1,13.8,14.1,24.4,24.8,24.6,24.5
전북특별자치도 - 총도시공원면적＜br＞(A),Statistics,14308.393,15331.953,15601.247,16438.238,17276.236,17430.935,18599.242,18295.77,19389.538,20360.358,20763.486,35782.375,36214.119,35777.115,35206.911
제주특별자치도 - 도시지역인구＜br＞(B),Statistics,504590.0,511755.0,517738.0,528845.0,538059.0,550431.0,565961.0,582609.0,595983.0,604852.0,608342.0,611670.0,612755.0,613564.0,612614.0
제주특별자치도 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,11.4,7.7,7.6,7.4,7.3,4.3,3.2,3.1,5.4,5.6,6.0,12.0,16.6,16.6,16.7
제주특별자치도 - 총도시공원면적＜br＞(A),Statistics,5752.593,3919.898,3919.898,3919.898,3919.898,2356.694,1786.784,1786.784,3225.546,3373.718,3672.602,7326.584,10187.026,10201.396,10239.16
충청남도 - 도시지역인구＜br＞(B),Statistics,1298015.0,1331958.0,1365851.0,1325278.0,1387602.0,1431191.0,1464384.0,1480012.0,1542860.0,1569458.0,1580443.0,1573042.0,1573861.0,1583332.0,1600511.0
충청남도 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,10.6,10.5,10.2,10.8,10.8,10.3,9.5,10.6,10.1,10.7,10.0,10.0,10.7,11.5,11.5
충청남도 - 총도시공원면적＜br＞(A),Statistics,13716.375,13955.729,13988.144,14353.539,14976.835,14805.542,13842.27,15657.006,15646.656,16725.719,15733.483,15794.071,16896.393,18134.392,18372.302
충청북도 - 도시지역인구＜br＞(B),Statistics,1216385.0,1232422.0,1239216.0,1252893.0,1308522.0,1307880.0,1309888.0,1317366.0,1282486.0,1279616.0,1263033.0,1262746.0,1270768.0,1286778.0,1311268.0
충청북도 - 인구천명당 도시공원조성면적＜br＞(A÷B×1000),Statistics,6.5,7.6,6.4,6.9,7.5,7.0,8.5,9.1,10.1,9.9,10.6,10.4,10.3,13.7,16.1
충청북도 - 총도시공원면적＜br＞(A),Statistics,7963.537,9307.09,7880.152,8646.64,9828.717,9205.81,11088.766,12048.026,12965.067,12690.871,13436.034,13137.091,13087.445,17667.305,21097.208
