item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강화군 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,4.16,3.61,5.02,6.48,7.18,8.17,8.4,8.39,9.08,9.34,9.79,11.02,11.4,11.48,12.05,12.42,11.88,10.95,12.43,14.91
강화군 - 주민등록인구＜br＞(B),Statistics,65114.0,65389.0,65510.0,66466.0,67387.0,67049.0,67104.0,66779.0,66752.0,66735.0,67118.0,67667.0,68010.0,68754.0,68896.0,69178.0,69203.0,69693.0,69803.0,69005.0
거제시 - 등록외국인＜br＞(A),Statistics,3293.0,3874.0,4409.0,5430.0,7644.0,8067.0,8080.0,8924.0,9028.0,11272.0,13724.0,15051.0,14178.0,9089.0,7473.0,8302.0,6641.0,5404.0,5861.0,11773.0
거제시 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,17.32,19.8,21.89,26.08,35.19,35.77,35.38,38.34,38.1,46.56,55.27,58.83,55.13,35.77,29.83,33.44,27.02,22.4,24.77,50.3
거제시 - 주민등록인구＜br＞(B),Statistics,190141.0,195609.0,201412.0,208208.0,217211.0,225522.0,228355.0,232787.0,236944.0,242077.0,248287.0,255828.0,257183.0,254073.0,250516.0,248276.0,245754.0,241216.0,236662.0,234038.0
거창군 - 등록외국인＜br＞(A),Statistics,154.0,170.0,259.0,311.0,369.0,405.0,430.0,442.0,433.0,470.0,485.0,467.0,511.0,527.0,503.0,547.0,503.0,512.0,744.0,806.0
거창군 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,2.35,2.63,4.05,4.86,5.83,6.41,6.78,7.0,6.86,7.44,7.68,7.39,8.07,8.4,8.05,8.8,8.18,8.38,12.32,13.42
거창군 - 주민등록인구＜br＞(B),Statistics,65615.0,64735.0,63917.0,63979.0,63268.0,63180.0,63421.0,63146.0,63103.0,63177.0,63137.0,63232.0,63308.0,62763.0,62455.0,62179.0,61502.0,61073.0,60387.0,60047.0
경기 여주군 - 등록외국인＜br＞(A),Statistics,1030.0,1019.0,1248.0,1680.0,2077.0,2189.0,2441.0,2519.0,2379.0,,,,,,,,,,,
경기 여주군 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,9.91,9.77,11.88,15.71,19.35,20.25,22.34,23.08,21.72,,,,,,,,,,,
경기 여주군 - 주민등록인구＜br＞(B),Statistics,103976.0,104260.0,105022.0,106926.0,107355.0,108088.0,109250.0,109120.0,109550.0,,,,,,,,,,,
경기도 - 등록외국인＜br＞(A),Statistics,165922.0,155942.0,200798.0,234030.0,256827.0,266808.0,285262.0,302447.0,288251.0,314715.0,352166.0,369665.0,373923.0,381628.0,408526.0,414318.0,380144.0,360412.0,382865.0,425629.0
경기도 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,15.86,14.58,18.41,21.07,22.74,23.28,24.2,25.34,23.84,25.72,28.5,29.52,29.4,29.64,31.24,31.29,28.31,26.57,28.17,31.23
경기도 - 주민등록인구＜br＞(B),Statistics,10462920.0,10697215.0,10906033.0,11106211.0,11292264.0,11460610.0,11786622.0,11937415.0,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0,13427014.0,13565450.0,13589432.0,13630821.0
경남 마산시 - 등록외국인＜br＞(A),Statistics,1732.0,2101.0,2944.0,3446.0,3693.0,3469.0,,,,,,,,,,,,,,
경남 마산시 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,4.05,4.94,6.98,8.29,8.98,8.54,,,,,,,,,,,,,,
경남 마산시 - 주민등록인구＜br＞(B),Statistics,427248.0,425018.0,421783.0,415805.0,411078.0,406307.0,,,,,,,,,,,,,,
경남 진해시 - 등록외국인＜br＞(A),Statistics,1380.0,1632.0,2046.0,2144.0,2725.0,2504.0,,,,,,,,,,,,,,
경남 진해시 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,9.12,10.4,12.69,13.14,16.15,14.61,,,,,,,,,,,,,,
경남 진해시 - 주민등록인구＜br＞(B),Statistics,151393.0,156992.0,161175.0,163108.0,168696.0,171407.0,,,,,,,,,,,,,,
경남 창원시 - 등록외국인＜br＞(A),Statistics,4119.0,3979.0,5654.0,6190.0,6283.0,6257.0,,,,,,,,,,,,,,
경남 창원시 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,8.12,7.89,11.22,12.28,12.48,12.45,,,,,,,,,,,,,,
경남 창원시 - 주민등록인구＜br＞(B),Statistics,507161.0,504520.0,503881.0,503930.0,503518.0,502727.0,,,,,,,,,,,,,,
경산시 - 등록외국인＜br＞(A),Statistics,3778.0,3911.0,5127.0,5863.0,6440.0,6350.0,6477.0,6668.0,6460.0,6783.0,7223.0,7682.0,8449.0,9194.0,10977.0,11713.0,10389.0,10476.0,11992.0,15265.0
경산시 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,17.21,17.17,21.83,24.75,27.12,26.85,26.91,27.36,26.22,27.26,28.44,29.9,32.74,35.43,42.04,44.5,39.39,39.04,44.79,57.34
경산시 - 주민등록인구＜br＞(B),Statistics,219579.0,227766.0,234839.0,236881.0,237423.0,236459.0,240708.0,243684.0,246358.0,248805.0,253968.0,256888.0,258037.0,259485.0,261093.0,263185.0,263728.0,268369.0,267725.0,266205.0
경상남도 - 등록외국인＜br＞(A),Statistics,24920.0,26679.0,35953.0,42389.0,51707.0,53222.0,57718.0,65960.0,64371.0,69126.0,77778.0,82316.0,81021.0,75136.0,74304.0,76123.0,67239.0,63148.0,70390.0,89312.0
경상남도 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,7.93,8.44,11.33,13.26,16.03,16.38,17.54,19.93,19.39,20.73,23.22,24.46,24.01,22.23,22.02,22.64,20.13,19.05,21.46,27.47
경상남도 - 주민등록인구＜br＞(B),Statistics,3143814.0,3160431.0,3172857.0,3196953.0,3225255.0,3250176.0,3290536.0,3308765.0,3319314.0,3333820.0,3350257.0,3364702.0,3373871.0,3380404.0,3373988.0,3362553.0,3340216.0,3314183.0,3280493.0,3251158.0
경상북도 - 등록외국인＜br＞(A),Statistics,22696.0,23409.0,29721.0,33721.0,35731.0,35350.0,36895.0,39984.0,40067.0,43499.0,47805.0,49765.0,51351.0,53364.0,56969.0,58119.0,52469.0,51100.0,57055.0,67025.0
경상북도 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,8.42,8.71,11.05,12.58,13.36,13.24,13.72,14.81,14.85,16.11,17.7,18.41,19.02,19.83,21.28,21.8,19.88,19.45,21.94,26.24
