item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
관악구 - 조이혼율 (천명당),Statistics,2.7,2.6,3.1,2.6,2.2,2.2,2.3,2.3,2.4,2.1,2.1,2.0,2.1,2.0,1.8,1.9,1.6,1.7,1.8,1.6,1.5,1.4,1.4,1.3
광명시 - 조이혼율 (천명당),Statistics,2.8,2.8,3.3,2.7,2.8,2.6,2.4,2.2,2.4,2.0,2.1,2.0,2.0,2.0,1.8,1.9,1.9,1.9,1.7,1.9,1.7,1.5,1.3,1.4
광산구 - 조이혼율 (천명당),Statistics,2.8,3.0,3.3,2.7,2.3,2.2,2.1,2.1,2.2,2.1,2.2,2.0,2.3,2.2,2.1,2.1,2.0,2.2,2.2,1.9,1.9,1.8,1.9,1.8
광양시 - 조이혼율 (천명당),Statistics,2.5,2.8,3.5,2.5,2.4,2.5,2.1,2.2,2.4,2.3,2.3,2.1,2.5,2.2,2.3,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.1,2.0
광주광역시 - 조이혼율 (천명당),Statistics,2.6,2.7,3.1,2.5,2.2,2.1,2.1,2.0,2.2,2.1,2.0,2.0,2.0,2.1,1.9,1.9,1.8,2.0,2.0,1.8,1.8,1.6,1.7,1.6
광주시 - 조이혼율 (천명당),Statistics,3.5,3.3,3.7,3.6,3.3,2.9,2.9,2.9,3.2,2.8,2.9,2.8,2.9,2.8,2.7,2.5,2.6,2.7,2.9,2.6,2.6,2.4,2.2,2.3
광진구 - 조이혼율 (천명당),Statistics,2.8,3.0,3.2,2.7,2.7,2.5,2.4,2.3,2.4,2.2,2.0,1.9,2.0,2.0,1.8,1.8,1.7,1.7,1.7,1.5,1.5,1.4,1.3,1.3
괴산군 - 조이혼율 (천명당),Statistics,1.9,2.2,2.7,2.1,1.7,2.1,2.0,2.1,2.3,2.3,2.3,2.0,2.0,2.3,1.5,2.3,2.2,2.1,2.4,1.7,1.9,2.0,1.9,1.7
구례군 - 조이혼율 (천명당),Statistics,1.6,1.5,2.2,2.3,2.0,1.8,2.0,1.5,1.7,1.8,2.3,2.0,2.0,1.7,1.8,1.6,2.1,1.9,1.6,1.8,2.0,2.0,1.9,1.5
구로구 - 조이혼율 (천명당),Statistics,2.9,2.7,3.1,2.7,2.4,2.3,2.3,2.2,2.4,2.2,2.1,2.1,2.1,2.0,1.9,1.9,1.9,1.8,1.8,1.8,1.7,1.5,1.5,1.4
구리시 - 조이혼율 (천명당),Statistics,3.0,3.1,3.7,3.0,2.6,2.7,2.5,2.7,2.3,2.6,2.2,2.3,2.2,2.5,2.1,2.0,1.7,1.9,2.0,2.4,1.8,1.7,1.5,1.5
구미시 - 조이혼율 (천명당),Statistics,2.3,2.5,2.7,2.5,2.2,2.2,1.9,2.2,2.2,1.9,1.9,2.1,2.0,2.1,2.0,2.0,2.1,2.3,2.2,2.3,2.2,2.0,1.9,2.1
군산시 - 조이혼율 (천명당),Statistics,2.7,3.3,3.9,3.2,2.8,2.7,2.6,2.5,2.7,2.4,2.8,2.6,2.6,2.4,2.5,2.4,2.4,2.4,2.6,2.4,2.4,2.3,2.2,2.2
군위군 - 조이혼율 (천명당),Statistics,1.5,1.2,1.9,2.0,2.1,1.9,1.9,1.5,1.8,2.2,1.6,1.6,1.1,1.5,1.5,1.8,2.2,1.7,1.6,1.6,1.4,1.2,1.4,1.8
