item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
거창군 - 녹지지역 - 면적,Statistics,25354389.0,25354389.0,25410348.0,25417323.0,25417323.0,25418787.0,25418787.0,25417317.0,25413367.0,25413367.0,25413367.0,25413367.0,25413367.0,25413367.0,25413400.0
거창군 - 녹지지역 - 비율,Statistics,81.37,81.37,79.65,79.65,79.65,79.67,79.67,79.66,79.65,79.65,79.65,79.65,79.65,79.65,78.9
거창군 - 도시지역 - 면적,Statistics,31158735.0,31158735.0,31904168.0,31911143.0,31911143.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,31906464.0,32210186.0
경기도 - 녹지지역 - 면적,Statistics,2590446155.0,2570617120.0,2624121608.0,2617993548.0,2613340929.0,2608324142.0,2610369452.0,2609977121.0,2609046640.0,2609090987.0,2603756858.0,2600686964.0,2579325673.0,2575728972.0,2555858725.0
경기도 - 녹지지역 - 비율,Statistics,79.97,78.75,78.8,78.59,78.25,77.9,77.75,77.51,77.4,77.28,77.1,76.97,76.19,76.05,75.82
경기도 - 도시지역 - 면적,Statistics,3239452978.0,3264237533.0,3330278692.0,3331056000.0,3339583747.0,3348294610.0,3357453240.0,3367486105.0,3371075153.0,3376013136.0,3377274307.0,3378712218.0,3385441488.0,3386898994.0,3370827754.0
경산시 - 녹지지역 - 면적,Statistics,84710748.0,84707053.0,84690282.0,84701452.0,85477722.0,85588365.0,85613635.0,85613635.0,85613635.0,85613635.0,94139153.0,94139153.0,92512810.0,92512810.0,92512810.0
경산시 - 녹지지역 - 비율,Statistics,77.94,77.94,76.36,76.37,74.44,74.53,74.56,74.56,74.56,74.56,76.08,76.08,74.77,74.77,74.77
경산시 - 도시지역 - 면적,Statistics,108690036.0,108686341.0,110915169.0,110915169.0,114831835.0,114831835.0,114831835.0,114831835.0,114831835.0,114831835.0,123741231.0,123741231.0,123728319.0,123728319.0,123728319.0
경상남도 - 녹지지역 - 면적,Statistics,1492721160.0,1488340810.0,1479633713.0,1481613292.0,1482998299.0,1478635298.0,1477490676.0,1477619147.0,1475224553.0,1474575866.0,1473933845.0,1474005446.0,1470869189.0,1465596323.0,1467107440.0
경상남도 - 녹지지역 - 비율,Statistics,76.01,79.27,78.7,78.48,78.31,78.12,77.92,78.19,77.95,73.45,73.38,73.52,73.26,73.0,73.0
경상남도 - 도시지역 - 면적,Statistics,1963756963.0,1877455242.0,1879998259.0,1887860832.0,1893863908.0,1892833064.0,1896271107.0,1889759767.0,1892605781.0,2007719820.0,2008568781.0,2004845346.0,2007710621.0,2007539323.0,2009783733.0
경상북도 - 녹지지역 - 면적,Statistics,1329497985.0,1374005317.0,1370778755.0,1368561957.0,1368414394.0,1369446101.0,1368533499.0,1365652259.0,1363503396.0,1364764124.0,1377251002.0,1376103929.0,1375422427.0,1374659977.0,1367890979.0
경상북도 - 녹지지역 - 비율,Statistics,75.19,75.03,74.71,74.27,74.07,74.03,73.97,73.6,73.43,73.11,73.26,73.2,73.2,73.21,73.11
