item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
광주광역시 - 면적,Statistics,13390.0,11078.0,14455.0,11525.0,13990.0,13153.0,14410.0,15710.0,17970.0,16017.0,18441.0,16335.0,13244.0,17182.0,18786.0,13534.0,8944.0,6242.0
광주시 - 면적,Statistics,11395.0,8291.0,12903.0,8611.0,15842.0,13424.0,13589.0,11859.0,16620.0,16925.0,16984.0,16739.0,15241.0,13750.0,15539.0,14508.0,7888.0,5627.0
광진구 - 면적,Statistics,532.0,359.0,379.0,238.0,277.0,273.0,237.0,373.0,591.0,486.0,503.0,568.0,457.0,829.0,338.0,226.0,151.0,278.0
괴산군 - 면적,Statistics,20338.0,18544.0,28054.0,28194.0,17151.0,22195.0,17126.0,28193.0,16074.0,15315.0,12514.0,11695.0,11788.0,10256.0,21666.0,17878.0,18683.0,7485.0
구례군 - 면적,Statistics,10814.0,8053.0,8650.0,6769.0,7507.0,5987.0,7016.0,6706.0,7578.0,7800.0,7574.0,7728.0,6478.0,6112.0,6136.0,5794.0,5852.0,4285.0
구로구 - 면적,Statistics,8052.0,4417.0,570.0,1342.0,599.0,786.0,442.0,781.0,967.0,791.0,816.0,1069.0,567.0,715.0,680.0,469.0,357.0,475.0
구리시 - 면적,Statistics,666.0,641.0,774.0,568.0,450.0,430.0,563.0,541.0,863.0,1010.0,1111.0,872.0,680.0,1048.0,1225.0,708.0,564.0,470.0
구미시 - 면적,Statistics,21848.0,14407.0,16122.0,12653.0,20338.0,17480.0,11630.0,15814.0,17313.0,15345.0,14728.0,12620.0,8740.0,14415.0,14075.0,10488.0,8894.0,9214.0
군산시 - 면적,Statistics,29909.0,19404.0,9075.0,7374.0,8455.0,8234.0,7930.0,8516.0,9082.0,8330.0,8179.0,8457.0,11684.0,9689.0,12980.0,11633.0,8568.0,7015.0
군위군 - 면적,Statistics,11368.0,12247.0,13972.0,11620.0,9299.0,10488.0,9273.0,11666.0,14929.0,12254.0,14175.0,10396.0,9025.0,10215.0,10278.0,8549.0,4161.0,
군포시 - 면적,Statistics,684.0,1180.0,1024.0,1066.0,569.0,764.0,673.0,931.0,1314.0,1304.0,1126.0,1017.0,951.0,1202.0,1001.0,414.0,429.0,453.0
금산군 - 면적,Statistics,8384.0,8251.0,17999.0,13629.0,9684.0,12273.0,14876.0,17521.0,10675.0,11836.0,18425.0,16175.0,12377.0,14769.0,12475.0,15053.0,8106.0,7889.0
금정구 - 면적,Statistics,1352.0,706.0,682.0,1152.0,1308.0,1722.0,1105.0,1533.0,1479.0,3001.0,1268.0,2741.0,610.0,1317.0,1166.0,935.0,451.0,828.0
금천구 - 면적,Statistics,714.0,598.0,407.0,532.0,284.0,284.0,510.0,456.0,714.0,942.0,711.0,885.0,595.0,480.0,532.0,1081.0,275.0,294.0
기장군 - 면적,Statistics,11476.0,9595.0,6407.0,5649.0,6430.0,7218.0,8889.0,8428.0,11080.0,6817.0,6868.0,6028.0,5190.0,5490.0,9638.0,4112.0,3056.0,2219.0
김제시 - 면적,Statistics,13597.0,17133.0,14334.0,14229.0,13481.0,13320.0,12323.0,13120.0,12951.0,11448.0,14007.0,13918.0,14143.0,14584.0,16041.0,10361.0,8936.0,9910.0
김천시 - 면적,Statistics,24433.0,16340.0,16121.0,15071.0,14895.0,17213.0,14867.0,21594.0,25456.0,22704.0,23808.0,18942.0,17135.0,16103.0,19877.0,14218.0,11912.0,12343.0
김포시 - 면적,Statistics,8514.0,6399.0,7387.0,6648.0,6132.0,6184.0,6624.0,7304.0,9639.0,9434.0,11077.0,10779.0,11583.0,14281.0,12805.0,8842.0,5790.0,5212.0
김해시 - 면적,Statistics,17840.0,14410.0,12446.0,11634.0,13890.0,13049.0,15247.0,17020.0,16966.0,20116.0,19150.0,13868.0,10075.0,12069.0,13059.0,10626.0,9121.0,9769.0
나주시 - 면적,Statistics,14656.0,11845.0,11403.0,12504.0,12272.0,11795.0,12193.0,13574.0,15544.0,15866.0,15652.0,15112.0,13196.0,13571.0,14111.0,10392.0,7938.0,8834.0
남구 - 면적,Statistics,1074.0,822.0,890.0,728.0,708.0,2099.0,960.0,1036.0,1291.0,1191.0,730.0,787.0,733.0,1102.0,903.0,564.0,664.0,456.0
남동구 - 면적,Statistics,4891.0,1560.0,2756.0,1268.0,3077.0,1434.0,1757.0,2011.0,2305.0,1966.0,2511.0,2136.0,1732.0,2525.0,2367.0,950.0,718.0,889.0
남양주시 - 면적,Statistics,16312.0,10657.0,16592.0,13289.0,14809.0,9097.0,11881.0,10412.0,21034.0,14659.0,15349.0,13317.0,16021.0,29254.0,16964.0,12444.0,7485.0,6764.0
남원시 - 면적,Statistics,16730.0,13579.0,16205.0,13710.0,12836.0,11503.0,12999.0,13450.0,17412.0,14727.0,15267.0,14581.0,13242.0,16101.0,12787.0,13162.0,8692.0,8095.0
