item,category,2011,2013,2015,2017,2019,2021,2023
제주특별자치도 - 계 - 매우 여유있음,Statistics,1.9,0.9,0.2,0.9,1.5,0.938,0.765
제주특별자치도 - 계 - 약간  여유있음,Statistics,16.0,6.4,6.7,11.0,6.9,12.157,10.02
제주특별자치도 - 계 - 약간 부족함,Statistics,36.7,41.7,40.6,42.4,43.2,40.222,38.101
제주특별자치도 - 계 - 적정함,Statistics,34.3,32.3,32.4,31.0,30.6,30.221,35.637
제주특별자치도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
제주특별자치도 - 남자 - 매우 부족함,Statistics,9.7,16.9,18.7,12.9,16.4,17.358,15.401
제주특별자치도 - 남자 - 매우 여유있음,Statistics,2.5,0.6,0.3,0.5,2.2,1.177,0.622
제주특별자치도 - 남자 - 약간  여유있음,Statistics,16.8,7.4,8.1,12.3,8.0,11.478,10.101
제주특별자치도 - 남자 - 약간 부족함,Statistics,34.7,43.3,38.4,42.1,44.9,38.839,38.465
제주특별자치도 - 남자 - 적정함,Statistics,36.3,31.8,34.5,32.2,28.6,31.148,35.412
제주특별자치도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
제주특별자치도 - 여자 - 매우 부족함,Statistics,15.7,23.6,23.9,19.1,20.5,14.256,15.68
제주특별자치도 - 여자 - 매우 여유있음,Statistics,,1.6,,1.8,0.3,0.35,1.15
제주특별자치도 - 여자 - 약간  여유있음,Statistics,13.4,3.7,2.8,7.9,4.9,13.829,9.802
제주특별자치도 - 여자 - 약간 부족함,Statistics,42.7,37.4,46.7,43.3,40.2,43.624,37.128
제주특별자치도 - 여자 - 적정함,Statistics,28.2,33.8,26.6,28.0,34.1,27.941,36.24
충청남도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
충청남도 - 계 - 매우 부족함,Statistics,17.7,22.2,20.8,16.4,14.9,12.015,12.673
충청남도 - 계 - 매우 여유있음,Statistics,1.8,0.4,0.5,0.7,1.1,1.786,1.841
충청남도 - 계 - 약간  여유있음,Statistics,19.0,5.7,8.9,7.7,10.4,11.433,13.623
충청남도 - 계 - 약간 부족함,Statistics,34.8,44.1,43.8,43.1,41.0,36.969,39.004
충청남도 - 계 - 적정함,Statistics,26.7,27.6,26.0,32.1,32.6,37.797,32.859
충청남도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
충청남도 - 남자 - 매우 부족함,Statistics,15.7,20.5,18.4,13.6,12.8,9.577,10.74
충청남도 - 남자 - 매우 여유있음,Statistics,2.0,0.5,0.5,0.6,1.3,2.066,1.726
충청남도 - 남자 - 약간  여유있음,Statistics,20.7,6.5,10.2,8.5,11.9,12.307,15.391
충청남도 - 남자 - 약간 부족함,Statistics,34.1,43.9,44.5,43.5,40.8,37.04,36.785
충청남도 - 남자 - 적정함,Statistics,27.6,28.6,26.4,33.8,33.2,39.01,35.358
충청남도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
충청남도 - 여자 - 매우 부족함,Statistics,23.7,27.8,27.7,25.1,21.6,19.045,18.279
충청남도 - 여자 - 매우 여유있음,Statistics,1.4,,0.7,0.9,0.6,0.976,2.175
충청남도 - 여자 - 약간  여유있음,Statistics,14.1,3.1,5.0,5.3,5.6,8.912,8.495
충청남도 - 여자 - 약간 부족함,Statistics,36.8,44.7,41.8,41.8,41.4,36.764,45.436
충청남도 - 여자 - 적정함,Statistics,24.0,24.3,24.8,26.9,30.7,34.302,25.616
충청북도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
충청북도 - 계 - 매우 부족함,Statistics,19.5,22.2,21.9,21.6,14.9,12.653,13.839
충청북도 - 계 - 매우 여유있음,Statistics,0.9,0.9,1.1,1.2,0.7,1.257,1.768
충청북도 - 계 - 약간  여유있음,Statistics,9.8,6.7,5.8,9.4,8.4,12.438,12.43
충청북도 - 계 - 약간 부족함,Statistics,36.2,45.6,43.4,42.7,45.7,41.271,38.874
충청북도 - 계 - 적정함,Statistics,33.6,24.5,27.8,25.2,30.4,32.381,33.089
충청북도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
충청북도 - 남자 - 매우 부족함,Statistics,16.7,19.5,21.3,19.1,13.3,11.552,12.366
충청북도 - 남자 - 매우 여유있음,Statistics,0.8,1.2,1.3,1.4,0.9,1.508,1.685
충청북도 - 남자 - 약간  여유있음,Statistics,11.2,7.2,6.5,10.1,9.5,12.766,13.663
충청북도 - 남자 - 약간 부족함,Statistics,36.3,45.5,43.2,43.1,45.7,40.394,38.207
충청북도 - 남자 - 적정함,Statistics,35.0,26.6,27.8,26.3,30.7,33.779,34.08
충청북도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
충청북도 - 여자 - 매우 부족함,Statistics,28.1,29.8,23.9,28.8,19.9,15.881,18.038
충청북도 - 여자 - 매우 여유있음,Statistics,1.3,,0.7,0.4,0.3,0.521,2.007
충청북도 - 여자 - 약간  여유있음,Statistics,5.6,5.5,3.7,7.3,4.8,11.476,8.914
충청북도 - 여자 - 약간 부족함,Statistics,35.8,45.8,44.1,41.3,45.6,43.842,40.776
충청북도 - 여자 - 적정함,Statistics,29.2,18.9,27.7,22.2,29.3,28.28,30.265
