item,category,2011,2013,2015,2017,2019,2021,2023
경상북도 - 남자 - 매우 여유있음,Statistics,3.5,0.7,0.5,1.0,1.1,0.733,1.347
경상북도 - 남자 - 약간  여유있음,Statistics,22.5,6.8,9.5,10.4,9.6,9.382,11.881
경상북도 - 남자 - 약간 부족함,Statistics,30.8,46.6,43.8,43.6,43.6,44.027,39.332
경상북도 - 남자 - 적정함,Statistics,31.9,27.8,31.1,31.4,31.3,29.753,34.253
경상북도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 여자 - 매우 부족함,Statistics,15.9,28.9,24.5,21.0,23.3,19.488,18.385
경상북도 - 여자 - 매우 여유있음,Statistics,0.8,0.4,0.8,1.0,0.7,0.291,
경상북도 - 여자 - 약간  여유있음,Statistics,9.4,4.1,2.0,5.2,6.5,3.395,5.12
경상북도 - 여자 - 약간 부족함,Statistics,39.1,44.2,49.9,45.9,41.7,46.607,45.01
경상북도 - 여자 - 적정함,Statistics,34.8,22.4,22.8,26.9,27.8,30.219,31.486
광주광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 계 - 매우 부족함,Statistics,13.8,21.9,22.1,20.6,21.9,17.593,15.202
광주광역시 - 계 - 매우 여유있음,Statistics,2.9,0.2,0.2,0.5,0.8,1.174,1.141
광주광역시 - 계 - 약간  여유있음,Statistics,14.8,6.3,5.4,8.7,7.7,12.468,11.501
광주광역시 - 계 - 약간 부족함,Statistics,38.3,42.8,45.5,43.9,43.0,40.51,38.514
광주광역시 - 계 - 적정함,Statistics,30.2,28.8,26.8,26.3,26.6,28.255,33.642
광주광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 남자 - 매우 부족함,Statistics,12.7,19.5,18.8,15.3,17.5,16.021,12.275
광주광역시 - 남자 - 매우 여유있음,Statistics,3.6,0.2,0.3,0.2,1.0,1.68,1.117
광주광역시 - 남자 - 약간  여유있음,Statistics,16.4,7.0,6.2,9.9,9.5,12.778,11.789
광주광역시 - 남자 - 약간 부족함,Statistics,36.0,44.5,46.8,47.5,44.6,39.467,38.167
광주광역시 - 남자 - 적정함,Statistics,31.4,28.9,27.9,27.1,27.4,30.054,36.652
광주광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 여자 - 매우 부족함,Statistics,17.0,28.7,30.9,32.0,30.2,21.245,21.629
광주광역시 - 여자 - 매우 여유있음,Statistics,1.2,0.5,,1.0,0.6,,1.195
광주광역시 - 여자 - 약간  여유있음,Statistics,10.1,4.3,3.4,6.1,4.3,11.747,10.868
광주광역시 - 여자 - 약간 부족함,Statistics,44.9,37.9,41.8,36.4,40.0,42.931,39.274
광주광역시 - 여자 - 적정함,Statistics,26.8,28.6,23.9,24.5,25.0,24.077,27.034
대구광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구광역시 - 계 - 매우 부족함,Statistics,15.2,22.2,20.1,18.1,16.9,16.737,14.42
대구광역시 - 계 - 매우 여유있음,Statistics,3.0,0.1,0.9,0.7,0.8,0.922,1.548
대구광역시 - 계 - 약간  여유있음,Statistics,16.3,7.0,7.5,9.6,9.2,7.135,9.081
대구광역시 - 계 - 약간 부족함,Statistics,31.5,45.5,44.5,47.9,45.6,43.715,45.503
대구광역시 - 계 - 적정함,Statistics,33.9,25.2,27.0,23.7,27.6,31.491,29.449
대구광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구광역시 - 남자 - 매우 부족함,Statistics,14.1,20.4,18.7,17.1,14.9,15.576,11.614
대구광역시 - 남자 - 매우 여유있음,Statistics,3.5,,0.8,0.8,0.7,0.997,1.47
대구광역시 - 남자 - 약간  여유있음,Statistics,17.0,7.7,8.5,10.4,11.0,8.097,9.348
대구광역시 - 남자 - 약간 부족함,Statistics,31.5,45.7,44.6,47.2,45.6,41.976,48.087
대구광역시 - 남자 - 적정함,Statistics,33.9,26.2,27.4,24.6,27.8,33.354,29.48
대구광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구광역시 - 여자 - 매우 부족함,Statistics,18.7,28.2,24.0,21.0,22.1,19.874,21.27
대구광역시 - 여자 - 매우 여유있음,Statistics,1.6,0.4,1.3,0.5,0.8,0.718,1.739
대구광역시 - 여자 - 약간  여유있음,Statistics,14.2,4.4,4.6,7.3,4.6,4.536,8.427
대구광역시 - 여자 - 약간 부족함,Statistics,31.4,44.8,44.3,50.0,45.4,48.416,39.192
대구광역시 - 여자 - 적정함,Statistics,34.1,22.1,25.9,21.3,27.0,26.456,29.373
대전광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전광역시 - 계 - 매우 부족함,Statistics,15.9,21.3,22.4,15.2,14.3,17.289,13.112
대전광역시 - 계 - 매우 여유있음,Statistics,4.3,1.1,0.6,1.8,1.3,1.368,1.358
대전광역시 - 계 - 약간  여유있음,Statistics,18.8,8.3,9.4,11.2,9.6,10.937,12.464
대전광역시 - 계 - 약간 부족함,Statistics,31.0,43.8,41.5,44.4,46.8,37.61,39.387
대전광역시 - 계 - 적정함,Statistics,30.0,25.6,26.1,27.5,28.0,32.796,33.678
대전광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전광역시 - 남자 - 매우 부족함,Statistics,14.9,19.0,19.7,13.8,12.3,16.794,12.009
대전광역시 - 남자 - 매우 여유있음,Statistics,4.5,1.1,0.8,1.2,1.5,0.858,1.253
대전광역시 - 남자 - 약간  여유있음,Statistics,20.5,8.1,9.9,13.6,10.1,11.743,13.797
대전광역시 - 남자 - 약간 부족함,Statistics,29.9,45.6,43.1,42.6,47.6,35.838,37.905
대전광역시 - 남자 - 적정함,Statistics,30.2,26.1,26.5,28.8,28.5,34.766,35.036
대전광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전광역시 - 여자 - 매우 부족함,Statistics,18.9,28.3,30.8,18.7,19.9,18.629,16.117
대전광역시 - 여자 - 매우 여유있음,Statistics,3.7,0.9,,3.4,0.9,2.751,1.647
대전광역시 - 여자 - 약간  여유있음,Statistics,13.7,8.9,7.9,4.8,8.1,8.751,8.834
대전광역시 - 여자 - 약간 부족함,Statistics,34.5,37.9,36.5,49.1,44.5,42.416,43.423
대전광역시 - 여자 - 적정함,Statistics,29.2,24.1,24.8,23.9,26.5,27.453,29.98
부산광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산광역시 - 계 - 매우 부족함,Statistics,15.2,24.7,19.9,19.9,15.8,16.419,16.143
부산광역시 - 계 - 매우 여유있음,Statistics,1.8,0.8,1.0,0.7,0.6,0.74,0.814
부산광역시 - 계 - 약간  여유있음,Statistics,12.9,7.3,5.6,6.0,7.2,8.746,11.711
부산광역시 - 계 - 약간 부족함,Statistics,41.3,40.7,46.4,46.3,46.6,43.203,40.007
부산광역시 - 계 - 적정함,Statistics,28.9,26.5,27.0,27.1,29.8,30.892,31.324
부산광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산광역시 - 남자 - 매우 부족함,Statistics,14.1,21.6,17.9,18.3,12.8,14.898,15.332
부산광역시 - 남자 - 매우 여유있음,Statistics,1.7,0.8,1.4,0.8,0.3,0.784,1.068
부산광역시 - 남자 - 약간  여유있음,Statistics,13.7,7.6,6.4,6.1,8.1,9.357,12.968
부산광역시 - 남자 - 약간 부족함,Statistics,40.5,43.6,46.5,46.8,49.8,42.146,38.062
부산광역시 - 남자 - 적정함,Statistics,30.0,26.3,27.8,27.8,29.0,32.815,32.57
부산광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산광역시 - 여자 - 매우 부족함,Statistics,18.5,32.7,25.0,24.3,22.9,20.149,17.989
부산광역시 - 여자 - 매우 여유있음,Statistics,1.9,0.6,,0.3,1.2,0.631,0.237
부산광역시 - 여자 - 약간  여유있음,Statistics,10.5,6.6,3.7,5.6,5.1,7.249,8.851
부산광역시 - 여자 - 약간 부족함,Statistics,43.4,33.2,46.2,44.9,39.1,45.797,44.434
부산광역시 - 여자 - 적정함,Statistics,25.7,26.9,25.1,25.0,31.8,26.174,28.489
서울특별시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울특별시 - 계 - 매우 부족함,Statistics,16.5,24.9,24.1,22.8,20.8,18.927,15.436
서울특별시 - 계 - 매우 여유있음,Statistics,1.8,1.0,1.2,1.7,1.7,2.118,1.54
서울특별시 - 계 - 약간  여유있음,Statistics,17.9,8.8,8.7,12.5,10.4,10.593,13.987
서울특별시 - 계 - 약간 부족함,Statistics,31.6,39.8,41.5,37.5,39.2,37.559,38.723
