item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
대구 군위군 - 15 - 29세 - 고용률 (%),Statistics,41.1,45.0,44.4,39.2,47.9,51.5,42.5,35.0,44.8,47.3,45.1,46.4
대구 남구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,38.8,41.6,38.0,43.1
대구 달서구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,37.2,39.4,37.5,36.2
대구 달성군 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,37.8,39.2,42.0,37.6
대구 동구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,42.7,45.4,40.8,40.7
대구 북구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,31.1,33.2,35.9,35.4
대구 서구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,37.2,44.1,37.3,38.1
대구 수성구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,27.1,28.1,29.2,24.8
대구 중구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,46.3,48.8,48.1,46.0
대전 대덕구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,40.3,46.0,47.7,48.6
대전 동구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,29.4,33.8,38.2,40.7
대전 서구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,44.2,44.2,45.4,46.6
대전 유성구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,43.0,43.8,42.4,43.1
대전 중구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,39.0,47.6,44.3,44.9
동두천시 - 15 - 29세 - 고용률 (%),Statistics,39.6,39.1,36.9,40.2,40.3,34.9,34.9,39.2,39.5,40.0,40.0,41.8
동해시 - 15 - 29세 - 고용률 (%),Statistics,26.3,28.6,33.1,27.7,31.2,32.7,31.2,31.3,29.7,32.1,42.9,41.1
목포시 - 15 - 29세 - 고용률 (%),Statistics,29.9,28.7,31.5,31.2,29.7,27.7,24.3,26.7,31.0,34.5,38.8,38.5
무안군 - 15 - 29세 - 고용률 (%),Statistics,26.3,27.5,28.6,24.6,23.2,22.4,26.8,26.8,22.9,22.1,27.9,31.9
무주군 - 15 - 29세 - 고용률 (%),Statistics,35.0,40.3,37.0,40.6,50.3,31.4,50.6,49.7,45.8,38.0,33.9,27.7
문경시 - 15 - 29세 - 고용률 (%),Statistics,29.5,34.1,36.8,22.8,26.1,29.1,31.4,23.5,25.0,25.7,37.8,42.2
밀양시 - 15 - 29세 - 고용률 (%),Statistics,27.4,32.5,32.3,37.5,40.0,30.9,36.5,31.2,36.7,46.9,35.4,46.9
보령시 - 15 - 29세 - 고용률 (%),Statistics,39.6,39.0,36.9,34.6,41.4,38.8,47.8,43.0,39.7,52.0,52.1,47.9
보성군 - 15 - 29세 - 고용률 (%),Statistics,44.0,34.5,40.6,29.9,46.3,33.3,42.4,37.9,30.4,39.5,28.5,37.4
보은군 - 15 - 29세 - 고용률 (%),Statistics,38.3,41.9,43.4,47.3,44.0,33.7,42.2,40.2,47.2,41.7,47.6,48.4
봉화군 - 15 - 29세 - 고용률 (%),Statistics,27.6,25.4,27.1,31.5,28.7,39.1,31.5,26.1,33.7,37.0,52.6,54.7
부산 강서구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,46.1,42.3,42.5,44.0
부산 금정구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,30.5,33.2,34.0,35.5
부산 기장군 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,32.2,35.8,37.6,40.3
부산 남구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,27.8,37.0,38.0,35.6
부산 동구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,39.4,36.3,53.0,50.9
부산 동래구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,33.2,35.9,42.0,42.8
부산 부산진구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,41.5,41.5,47.2,50.4
부산 북구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,37.1,41.0,38.8,48.4
부산 사상구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,44.4,50.4,45.6,47.9
부산 사하구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,38.5,41.2,43.5,44.2
부산 서구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,40.7,42.8,43.2,42.5
부산 수영구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,41.9,54.5,50.2,50.1
부산 연제구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,35.8,43.4,45.8,42.4
부산 영도구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,30.0,35.4,33.2,27.9
부산 중구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,46.8,54.3,54.0,59.4
부산 해운대구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,31.2,35.6,35.5,33.6
부안군 - 15 - 29세 - 고용률 (%),Statistics,32.8,36.8,38.0,35.9,38.3,36.8,39.4,42.6,36.4,31.8,48.6,49.1
부여군 - 15 - 29세 - 고용률 (%),Statistics,37.9,35.8,36.7,31.0,31.9,31.9,35.2,28.6,35.5,44.6,42.5,26.6
