item,category,2009,2011,2013,2015,2017,2019,2021
부산광역시 - 계 - - 재해지역 주민돕기 및 시설복구 등,Statistics,7.7,1.9,4.0,4.7,3.8,2.1,7.822
부산광역시 - 계 - - 환경보전 범죄예방 등,Statistics,34.6,31.9,15.3,14.5,9.9,22.5,15.54
부산광역시 - 계 - 참여한 적 있다,Statistics,17.5,18.7,18.7,15.5,15.4,11.4,8.724
서울특별시 - 계 - - 국가 및 지역 행사 등,Statistics,10.8,6.8,7.9,9.8,10.9,6.6,13.105
서울특별시 - 계 - - 기타 일반인을 위한 봉사,Statistics,14.6,17.6,14.3,13.2,15.4,21.2,16.121
서울특별시 - 계 - - 아동 청소년 노인 장애인 재소자 등,Statistics,41.4,56.2,64.6,57.8,58.4,61.3,56.085
서울특별시 - 계 - - 자녀교육 등,Statistics,14.1,10.0,8.2,8.8,9.6,8.7,5.735
서울특별시 - 계 - - 재해지역 주민돕기 및 시설복구 등,Statistics,10.7,4.3,3.3,4.0,4.0,4.5,6.729
서울특별시 - 계 - - 환경보전 범죄예방 등,Statistics,24.6,16.1,16.0,18.1,17.6,16.7,20.55
서울특별시 - 계 - 참여한 적 있다,Statistics,18.1,18.1,17.7,17.9,18.0,15.8,7.431
세종특별자치시 - 계 - - 국가 및 지역 행사 등,Statistics,,,,8.6,10.6,11.2,4.595
세종특별자치시 - 계 - - 기타 일반인을 위한 봉사,Statistics,,,,8.5,17.3,11.3,18.029
세종특별자치시 - 계 - - 아동 청소년 노인 장애인 재소자 등,Statistics,,,,66.3,55.8,50.4,38.457
세종특별자치시 - 계 - - 자녀교육 등,Statistics,,,,8.3,14.5,21.5,10.882
세종특별자치시 - 계 - - 재해지역 주민돕기 및 시설복구 등,Statistics,,,,4.3,4.8,3.1,8.174
세종특별자치시 - 계 - - 환경보전 범죄예방 등,Statistics,,,,19.8,20.4,26.5,28.699
세종특별자치시 - 계 - 참여한 적 있다,Statistics,,,,20.3,21.1,22.7,10.637
울산광역시 - 계 - - 국가 및 지역 행사 등,Statistics,9.0,8.8,10.7,8.7,9.0,6.8,8.865
울산광역시 - 계 - - 기타 일반인을 위한 봉사,Statistics,15.1,6.9,26.7,10.0,23.7,9.1,15.213
울산광역시 - 계 - - 아동 청소년 노인 장애인 재소자 등,Statistics,44.6,73.5,65.7,69.6,52.5,57.7,53.357
울산광역시 - 계 - - 자녀교육 등,Statistics,12.6,9.9,4.2,6.9,9.8,9.0,7.247
울산광역시 - 계 - - 재해지역 주민돕기 및 시설복구 등,Statistics,9.8,2.0,3.1,4.1,8.4,8.5,7.529
울산광역시 - 계 - - 환경보전 범죄예방 등,Statistics,29.4,13.6,14.2,15.4,12.6,33.0,25.586
울산광역시 - 계 - 참여한 적 있다,Statistics,25.2,23.2,21.5,16.8,18.8,18.4,10.018
인천광역시 - 계 - - 국가 및 지역 행사 등,Statistics,6.8,4.8,6.2,12.0,5.7,7.6,5.386
인천광역시 - 계 - - 기타 일반인을 위한 봉사,Statistics,14.6,19.3,9.4,30.9,26.4,33.4,15.63
인천광역시 - 계 - - 아동 청소년 노인 장애인 재소자 등,Statistics,44.3,62.4,74.4,51.0,53.5,49.3,48.061
인천광역시 - 계 - - 자녀교육 등,Statistics,8.5,8.1,6.7,8.4,8.4,13.6,3.729
인천광역시 - 계 - - 재해지역 주민돕기 및 시설복구 등,Statistics,12.0,3.7,4.4,2.9,3.5,4.0,3.891
인천광역시 - 계 - - 환경보전 범죄예방 등,Statistics,29.3,16.2,13.0,11.8,17.7,12.2,28.964
인천광역시 - 계 - 참여한 적 있다,Statistics,17.8,18.5,18.6,15.8,15.9,15.0,7.479
전국 - 계 - - 국가 및 지역 행사 등,Statistics,11.3,7.7,7.7,8.0,8.8,9.1,7.353
전국 - 계 - - 기타 일반인을 위한 봉사,Statistics,16.1,16.0,15.3,17.6,20.5,17.5,16.431
전국 - 계 - - 아동 청소년 노인 장애인 재소자 등,Statistics,43.7,58.2,62.4,58.2,54.5,57.7,51.523
전국 - 계 - - 자녀교육 등,Statistics,12.1,8.8,6.6,7.8,9.1,9.7,6.221
전국 - 계 - - 재해지역 주민돕기 및 시설복구 등,Statistics,11.3,4.4,3.9,4.1,3.9,4.6,8.557
전국 - 계 - - 환경보전 범죄예방 등,Statistics,25.4,20.6,19.4,19.4,18.5,20.4,24.579
전국 - 계 - 참여한 적 있다,Statistics,19.3,19.8,19.9,18.2,17.8,16.1,8.36
전라남도 - 계 - - 국가 및 지역 행사 등,Statistics,10.9,7.6,10.3,10.2,11.0,15.1,5.731
전라남도 - 계 - - 기타 일반인을 위한 봉사,Statistics,11.2,19.5,7.5,20.0,13.3,10.8,17.966
