item,category,2011,2013,2015,2017,2019,2021,2023
경기도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 남자 - 관람함,Statistics,62.5,66.2,68.2,67.9,67.8,23.075,55.504
경기도 - 남자 - 관람횟수(평균),Statistics,8.1,8.2,8.2,8.7,8.0,5.039,6.981
경기도 - 여자 - - 기타,Statistics,,,,0.3,0.0,0.076,0.54
경기도 - 여자 - - 무용,Statistics,2.8,3.4,2.3,2.8,2.1,2.493,3.105
경기도 - 여자 - - 문학행사,Statistics,,,,,,,10.65
경기도 - 여자 - - 미술관,Statistics,24.3,22.8,24.2,24.2,25.1,27.69,29.59
경기도 - 여자 - - 박물관,Statistics,28.1,25.3,27.9,27.1,28.3,20.865,28.098
경기도 - 여자 - - 스포츠 경기,Statistics,14.2,12.2,14.5,16.4,12.9,8.22,18.496
경기도 - 여자 - - 연극·마당극·뮤지컬,Statistics,31.5,32.1,31.5,31.3,28.2,18.601,27.685
경기도 - 여자 - - 영화,Statistics,88.1,88.6,90.9,91.1,90.3,67.183,79.188
경기도 - 여자 - - 음악·연주회·콘서트,Statistics,26.2,22.8,21.9,21.9,28.8,14.417,31.177
경기도 - 여자 - · 관람 횟수(평균),Statistics,2.8,2.2,2.3,2.2,2.3,2.701,1.779
경기도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경기도 - 여자 - 관람함,Statistics,64.7,68.7,71.9,71.0,71.7,26.547,58.275
경기도 - 여자 - 관람횟수(평균),Statistics,8.8,8.9,9.1,9.2,8.5,4.616,7.368
경상남도 - 계 - - 기타,Statistics,,,,0.3,,,0.526
경상남도 - 계 - - 무용,Statistics,2.0,2.0,1.8,2.1,0.9,1.183,1.734
경상남도 - 계 - - 문학행사,Statistics,,,,,,,6.218
경상남도 - 계 - - 미술관,Statistics,17.8,16.4,17.1,19.4,16.6,17.573,20.314
경상남도 - 계 - - 박물관,Statistics,23.0,26.3,28.7,30.6,24.0,20.184,25.692
경상남도 - 계 - - 스포츠 경기,Statistics,20.3,21.7,20.0,22.2,25.3,21.553,27.194
경상남도 - 계 - - 연극·마당극·뮤지컬,Statistics,14.3,16.8,15.0,16.4,19.3,8.582,14.277
경상남도 - 계 - - 영화,Statistics,79.8,84.1,85.9,84.8,84.7,64.731,75.546
경상남도 - 계 - - 음악·연주회·콘서트,Statistics,20.4,20.1,20.9,21.4,26.0,12.832,31.37
경상남도 - 계 - · 관람 횟수(평균),Statistics,2.9,2.1,2.4,2.3,2.3,1.895,2.062
경상남도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 계 - 관람함,Statistics,51.5,57.4,65.4,62.6,63.0,21.65,55.416
경상남도 - 계 - 관람횟수(평균),Statistics,8.1,8.5,8.4,8.8,7.8,4.921,6.815
경상남도 - 남자 - - 기타,Statistics,,,,0.2,,,0.52
경상남도 - 남자 - - 무용,Statistics,1.2,1.0,0.9,0.9,0.8,1.195,1.118
경상남도 - 남자 - - 문학행사,Statistics,,,,,,,5.201
경상남도 - 남자 - - 미술관,Statistics,13.0,14.2,14.6,16.3,14.6,15.294,16.024
경상남도 - 남자 - - 박물관,Statistics,19.4,24.0,26.2,28.6,21.7,19.546,22.025
경상남도 - 남자 - - 스포츠 경기,Statistics,27.4,29.7,28.2,30.5,34.6,32.044,38.638
경상남도 - 남자 - - 연극·마당극·뮤지컬,Statistics,11.3,13.5,11.9,12.8,15.1,6.947,12.174
경상남도 - 남자 - - 영화,Statistics,79.1,81.9,84.6,83.2,83.3,61.298,73.437
경상남도 - 남자 - - 음악·연주회·콘서트,Statistics,14.1,16.8,17.3,18.1,21.5,10.822,24.77
경상남도 - 남자 - · 관람 횟수(평균),Statistics,3.0,2.1,2.6,2.4,2.1,2.018,2.354
경상남도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 남자 - 관람함,Statistics,52.2,59.2,65.5,63.1,64.0,21.626,55.278
경상남도 - 남자 - 관람횟수(평균),Statistics,7.6,8.6,8.5,8.9,7.8,5.089,7.206
경상남도 - 여자 - - 기타,Statistics,,,,0.4,,,0.532
경상남도 - 여자 - - 무용,Statistics,2.9,3.0,2.8,3.4,0.9,1.171,2.353
경상남도 - 여자 - - 문학행사,Statistics,,,,,,,7.241
경상남도 - 여자 - - 미술관,Statistics,22.6,18.6,19.5,22.6,18.7,19.889,24.629
